date,city,crop,unit,min_price_pkr,avg_price_pkr,max_price_pkr,temperature_c,rainfall_mm,humidity_percent,n_price_reports,price_spread_pkr,data_type,source_file,latitude,longitude,weather_source
2024-02-21,Faisalabad,Tomato,1 Kg,85.75,91.25,97.78,11.4,0.2,33.0,1,12.03,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-22,Faisalabad,Tomato,1 Kg,112.78,119.3,127.2,9.9,0.2,32.3,1,14.42,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-23,Faisalabad,Tomato,1 Kg,128.43,139.12,145.55,12.7,0.5,28.6,1,17.12,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-24,Faisalabad,Tomato,1 Kg,143.38,148.38,160.22,12.6,0.5,36.0,1,16.84,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-25,Faisalabad,Tomato,1 Kg,116.68,124.38,130.3,10.0,1.2,38.9,1,13.62,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-26,Faisalabad,Tomato,1 Kg,109.62,116.62,121.0,12.9,1.6,30.8,1,11.38,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-27,Faisalabad,Tomato,1 Kg,107.65,111.4,115.42,9.3,0.3,33.9,1,7.77,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-28,Faisalabad,Tomato,1 Kg,81.47,86.62,89.58,10.5,0.9,33.1,1,8.11,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-29,Faisalabad,Tomato,1 Kg,58.4,63.25,67.18,18.2,0.6,40.7,1,8.78,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-01,Faisalabad,Tomato,1 Kg,80.22,84.42,87.02,11.9,1.1,30.1,1,6.8,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-02,Faisalabad,Tomato,1 Kg,143.18,149.62,160.48,13.7,0.5,38.0,1,17.3,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-03,Faisalabad,Tomato,1 Kg,100.28,107.6,113.32,10.3,1.2,31.1,1,13.04,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-04,Faisalabad,Tomato,1 Kg,139.0,148.32,158.75,10.9,2.3,36.1,1,19.75,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-05,Faisalabad,Tomato,1 Kg,116.8,126.25,135.88,15.3,1.2,35.7,1,19.08,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-06,Faisalabad,Tomato,1 Kg,117.92,127.55,135.82,11.2,0.5,37.8,1,17.9,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-07,Faisalabad,Tomato,1 Kg,132.5,139.07,143.98,14.3,0.8,35.4,1,11.48,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-08,Faisalabad,Tomato,1 Kg,120.78,128.05,136.0,14.0,0.5,42.2,1,15.22,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-09,Faisalabad,Tomato,1 Kg,129.22,135.85,143.43,16.4,2.4,28.8,1,14.21,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-10,Faisalabad,Tomato,1 Kg,119.4,125.78,132.48,14.9,1.6,34.2,1,13.08,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-11,Faisalabad,Tomato,1 Kg,89.4,94.78,99.02,13.5,0.2,35.4,1,9.62,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-12,Faisalabad,Tomato,1 Kg,130.95,140.95,147.62,13.9,0.1,47.3,1,16.67,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-13,Faisalabad,Tomato,1 Kg,135.45,140.62,150.6,13.9,0.2,35.2,1,15.15,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-14,Faisalabad,Tomato,1 Kg,108.82,118.0,122.35,15.7,0.7,40.7,1,13.53,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-15,Faisalabad,Tomato,1 Kg,100.25,105.68,112.1,12.5,0.9,36.8,1,11.85,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-16,Faisalabad,Tomato,1 Kg,94.45,99.92,107.12,18.9,0.2,28.2,1,12.67,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-17,Faisalabad,Tomato,1 Kg,125.02,130.9,134.95,15.0,0.1,40.4,1,9.93,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-18,Faisalabad,Tomato,1 Kg,131.02,135.82,143.43,19.3,0.8,34.3,1,12.41,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-19,Faisalabad,Tomato,1 Kg,131.93,143.1,149.05,15.4,2.9,33.9,1,17.12,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-20,Faisalabad,Tomato,1 Kg,120.4,124.88,131.52,14.1,0.7,39.0,1,11.12,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-21,Faisalabad,Tomato,1 Kg,89.8,95.6,100.15,17.5,1.2,43.9,1,10.35,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-22,Faisalabad,Tomato,1 Kg,124.6,129.22,134.0,15.5,0.1,36.7,1,9.4,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-23,Faisalabad,Tomato,1 Kg,99.42,107.42,114.28,19.2,2.0,35.9,1,14.86,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-24,Faisalabad,Tomato,1 Kg,95.25,100.4,105.4,18.8,0.4,44.3,1,10.15,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-25,Faisalabad,Tomato,1 Kg,108.75,113.62,117.8,14.4,3.8,41.0,1,9.05,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-26,Faisalabad,Tomato,1 Kg,134.15,142.1,147.88,15.3,1.1,48.8,1,13.73,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-27,Faisalabad,Tomato,1 Kg,84.78,90.28,96.15,19.1,1.2,53.6,1,11.37,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-28,Faisalabad,Tomato,1 Kg,89.7,96.52,100.62,19.0,0.1,39.2,1,10.92,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-29,Faisalabad,Tomato,1 Kg,136.93,148.1,158.6,18.4,0.3,53.6,1,21.67,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-30,Faisalabad,Tomato,1 Kg,110.98,115.08,119.62,17.3,0.8,45.0,1,8.64,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-03-31,Faisalabad,Tomato,1 Kg,118.68,126.0,134.28,20.6,2.1,50.9,1,15.6,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-01,Faisalabad,Tomato,1 Kg,135.72,140.28,148.0,20.3,0.9,51.9,1,12.28,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-02,Faisalabad,Tomato,1 Kg,119.65,124.48,128.38,22.2,1.2,49.3,1,8.73,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-03,Faisalabad,Tomato,1 Kg,135.88,140.57,146.4,20.2,0.9,49.3,1,10.52,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-04,Faisalabad,Tomato,1 Kg,122.9,129.25,133.25,22.8,1.3,50.3,1,10.35,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-05,Faisalabad,Tomato,1 Kg,102.78,105.98,113.25,24.2,0.9,48.4,1,10.47,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-06,Faisalabad,Tomato,1 Kg,133.2,140.75,147.3,21.6,0.9,39.1,1,14.1,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-07,Faisalabad,Tomato,1 Kg,111.78,117.9,124.55,21.5,0.6,53.3,1,12.77,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-08,Faisalabad,Tomato,1 Kg,81.38,85.62,90.7,19.3,0.3,48.9,1,9.32,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-09,Faisalabad,Tomato,1 Kg,135.78,144.18,149.98,22.5,0.1,44.5,1,14.2,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-10,Faisalabad,Tomato,1 Kg,140.4,151.57,161.25,22.6,0.4,41.9,1,20.85,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-11,Faisalabad,Tomato,1 Kg,116.72,124.72,132.48,22.6,0.4,51.0,1,15.76,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-12,Faisalabad,Tomato,1 Kg,93.35,96.65,101.75,25.8,0.5,58.0,1,8.4,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-13,Faisalabad,Tomato,1 Kg,79.53,84.7,89.12,24.6,2.0,56.8,1,9.59,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-14,Faisalabad,Tomato,1 Kg,79.1,85.0,88.62,26.0,0.6,54.4,1,9.52,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-15,Faisalabad,Tomato,1 Kg,118.15,127.48,135.9,23.2,1.2,53.3,1,17.75,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-16,Faisalabad,Tomato,1 Kg,112.7,117.85,123.15,21.6,0.0,43.6,1,10.45,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-17,Faisalabad,Tomato,1 Kg,130.85,135.98,143.82,26.1,1.3,57.4,1,12.97,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-18,Faisalabad,Tomato,1 Kg,90.6,96.68,103.92,23.5,0.7,48.0,1,13.32,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-19,Faisalabad,Tomato,1 Kg,120.2,129.18,134.0,26.4,0.4,67.4,1,13.8,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-20,Faisalabad,Tomato,1 Kg,84.12,89.35,95.0,26.3,0.3,52.8,1,10.88,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-21,Faisalabad,Tomato,1 Kg,133.0,142.38,149.57,28.4,0.5,53.3,1,16.57,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-22,Faisalabad,Tomato,1 Kg,82.3,87.62,91.02,21.1,0.1,47.1,1,8.72,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-23,Faisalabad,Tomato,1 Kg,116.12,121.58,130.93,23.9,0.1,65.9,1,14.81,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-24,Faisalabad,Tomato,1 Kg,118.92,126.5,135.32,25.6,0.8,57.0,1,16.4,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-25,Faisalabad,Tomato,1 Kg,84.72,91.35,95.55,24.6,1.0,55.6,1,10.83,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-26,Faisalabad,Tomato,1 Kg,116.9,123.5,127.42,26.6,0.2,60.2,1,10.52,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-27,Faisalabad,Tomato,1 Kg,109.7,117.3,122.4,26.6,0.1,52.1,1,12.7,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-28,Faisalabad,Tomato,1 Kg,113.28,118.22,127.2,25.1,0.8,57.1,1,13.92,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-29,Faisalabad,Tomato,1 Kg,113.35,117.65,125.88,29.8,0.3,49.8,1,12.53,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-04-30,Faisalabad,Tomato,1 Kg,99.45,102.85,108.02,29.9,1.5,61.5,1,8.57,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-01,Faisalabad,Tomato,1 Kg,88.02,92.25,97.55,29.6,0.9,56.7,1,9.53,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-02,Faisalabad,Tomato,1 Kg,110.68,117.5,122.12,27.1,0.8,55.9,1,11.44,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-03,Faisalabad,Tomato,1 Kg,98.7,105.42,111.55,29.2,0.4,57.2,1,12.85,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-04,Faisalabad,Tomato,1 Kg,118.2,125.15,132.22,28.9,0.3,65.9,1,14.02,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-05,Faisalabad,Tomato,1 Kg,110.7,117.02,120.6,30.9,1.5,62.3,1,9.9,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-06,Faisalabad,Tomato,1 Kg,86.08,93.48,100.0,27.2,0.7,57.0,1,13.92,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-07,Faisalabad,Tomato,1 Kg,132.2,142.0,149.18,32.7,0.1,56.1,1,16.98,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-08,Faisalabad,Tomato,1 Kg,127.5,133.15,139.6,29.3,0.1,62.2,1,12.1,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-09,Faisalabad,Tomato,1 Kg,117.5,127.68,132.57,29.5,1.7,62.1,1,15.07,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-10,Faisalabad,Tomato,1 Kg,118.52,122.25,126.48,33.3,1.2,63.2,1,7.96,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-11,Faisalabad,Tomato,1 Kg,95.8,102.12,108.62,29.4,0.2,58.3,1,12.82,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-12,Faisalabad,Tomato,1 Kg,113.0,122.78,129.57,28.1,1.4,68.0,1,16.57,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-13,Faisalabad,Tomato,1 Kg,79.08,85.52,91.12,29.6,0.5,62.2,1,12.04,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-14,Faisalabad,Tomato,1 Kg,119.45,127.42,133.45,30.8,0.9,57.0,1,14.0,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-15,Faisalabad,Tomato,1 Kg,92.42,98.9,102.35,31.6,0.4,64.9,1,9.93,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-16,Faisalabad,Tomato,1 Kg,103.68,108.82,116.35,28.9,0.3,60.6,1,12.67,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-17,Faisalabad,Tomato,1 Kg,113.22,120.82,129.62,27.7,4.5,69.5,1,16.4,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-18,Faisalabad,Tomato,1 Kg,86.48,90.75,94.38,29.3,0.5,69.7,1,7.9,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-19,Faisalabad,Tomato,1 Kg,122.65,132.3,136.65,30.9,0.5,64.3,1,14.0,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-20,Faisalabad,Tomato,1 Kg,99.12,103.48,111.0,32.0,1.4,64.8,1,11.88,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-21,Faisalabad,Tomato,1 Kg,109.55,114.82,123.3,31.5,0.0,66.1,1,13.75,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-22,Faisalabad,Tomato,1 Kg,116.05,125.0,128.9,32.4,1.1,63.4,1,12.85,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-23,Faisalabad,Tomato,1 Kg,104.8,108.38,114.15,33.4,0.2,60.0,1,9.35,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-05-24,Faisalabad,Tomato,1 Kg,93.2,101.25,105.72,32.2,1.0,69.9,1,12.52,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
